order,dataset_index,image_id,image_path,reference_captions
77,23712,23712,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/077_23712.jpg,"[""A man in a red shirt plays the violin on stage."", ""A man with long wavy hair, playing the violin."", ""A man eagerly playing the violin on stage."", ""A man with long wavy hair plays to violin."", ""A man plays the violin on stage.""]"
78,28178,28178,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/078_28178.jpg,"[""A man in a black sweater with a red undershirt playing a trumpet in front of a lighted Christmas tree."", ""The man playing a trumpet in front of a christmas tree looks intense."", ""A man in a black sweater and red shirt plays the trumpet by a tree."", ""A guy with a beard wearing his glasses is blowing on a trumpet."", ""A musician playing some smooth music.""]"
79,9712,9712,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/079_9712.jpg,"[""A man is doing tricks with a bicycle at a skate park."", ""Man on bicycle is doing tricks in an old building."", ""A young man does tricks with his bike on a course."", ""A BMX biker performing a wall-ride on a ramp."", ""A bmx rider rides the ramp.""]"
80,3961,3961,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/080_3961.jpg,"[""A woman, viewed through a window, sits at a restaurant table and puts down a red shopping bag."", ""A woman is sitting at a table and looking into her American Girl Place shopping bag."", ""A woman places her red shopping bag down as she sits down to a table."", ""An older woman in a white shirt holds a red bag behind some glass."", ""Woman seen through window at restaurant.""]"
81,24351,24351,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/081_24351.jpg,"[""The dinosaur exhibt is next to a tree that has a balloon stuck in its branches."", ""A black dog looks up at a ball in the air and prepares to catch it."", ""A black dog waits on the grass for a falling yellow ball."", ""A dog is looking up at a ball attached to the string."", ""The animal is near the pond.""]"
82,10901,10901,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/082_10901.jpg,"[""Two children, warmly dressed, are playing in the snow."", ""Two kids playing in the snow in a rural area."", ""Two young children play in the snow."", ""Two young children enjoy the snow."", ""Two children playing in the snow.""]"
83,29346,29346,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/083_29346.jpg,"[""A surfer wearing a black and red wetsuit on a white surfboard, slices through the waves on a bright blue ocean."", ""A male surfboarder in a black wetsuit is riding a huge wave in beautiful blue water."", ""The man is skillfully surfing a violent wave in the blue ocean."", ""Two people are surfing on a large wave in the ocean."", ""Two people are surfing in the ocean.""]"
84,23641,23641,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/084_23641.jpg,"[""There are several people either sitting on benches or walking through what appears to be a brick road with trees coming up from various circular openings in the road."", ""A group of people rest on a park bench underneath the shade of the canopy of trees as a man in a brightly colored pink stripe shirt walks past."", ""A park with trees, people sitting on benches, and people walking."", ""People are walking under trees while other are sitting down."", ""People walking through a watery path.""]"
85,23304,23304,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/085_23304.jpg,"[""A young woman in a pink top holds several shopping bags while walking down a boulevard."", ""A woman in a pink and black short skirted outfit walking with shopping bags."", ""A lady dressed in pink and black walking down a sidewalk carrying packages."", ""A young woman is walking with shopping bags in Hollywood."", ""A well dressed woman is shopping in front of a store.""]"
86,16410,16410,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/086_16410.jpg,"[""A shirtless man wearing a backwards hat and blue jeans balances on his front bike tire with the back one in the air."", ""A shirtless boy wearing baggy jeans and a backwards hat is doing a trick on a BMX bike."", ""A shirtless guy on a BMX bike is in the process of jumping a hill on his BMX bike."", ""A shirtless man is riding his bicycle, which is on its front wheel."", ""A male is riding a bicycle in uneven terrain.""]"
87,30685,30685,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/087_30685.jpg,"[""A man who looks like Andy Dick is talking to a man in a hall with a man with a splotch of primary-color red on his hair."", ""A guy with a golden hair is chatting with a guy with a red-hair on top of his head."", ""Two male college students at a social networking event."", ""Two boys in dark clothing talk to each other."", ""Two men are talking in a hallway.""]"
88,16636,16636,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/088_16636.jpg,"[""A young girl in a blue skirt, walking down a stony path."", ""Little girl in blue skirt standing by big gray rock."", ""A little girl with blue dress comes home from school"", ""A small girl is going to the school."", ""A young child standing by rocks.""]"
89,27198,27198,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/089_27198.jpg,"[""Three teenagers, two without shoes having a water gun fight with various types of guns trying to spray each other."", ""Three teenage boys blast each other with water guns in an open field."", ""Two boys getting shot by a water gun by another boy in a yard."", ""Three male teenagers are playing in a field with water guns."", ""Three boys in the middle of a squirt gun battle.""]"
90,29824,29824,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/090_29824.jpg,"[""A woman stands behind a display table advertising the London 2012 Olympics in front of a sign reading, \""Bienvenus Welcome.\"""", ""A female worker is standing behind a table that says London 2012 above the Olympic rings."", ""A young woman is standing behind an information stall at the 2012 London Olympic Games."", ""Woman posing in her booth during the London 2012 olympics"", ""The olympic official is smiling for the camera""]"
91,21964,21964,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/091_21964.jpg,"[""A man and a woman seated at a table, having drinks and deep in conversation."", ""A couple talking together having drinks in a quiet booth."", ""A man and a woman are sitting at a table with drinks."", ""Two people are sitting and enjoying some beverages."", ""Couple having cocktails at a club.""]"
92,6220,6220,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/092_6220.jpg,"[""A crowded and active city street in Asia, with stores and billboards lining the street."", ""A busy street during the daytime in an asian city."", ""A crowd of people walking on a sidewalk in a city."", ""City in japan with crowded streets of people"", ""This asian city is very busy.""]"
93,9940,9940,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/093_9940.jpg,"[""People walk on a wet sidewalk that has red bricks inlaid in it."", ""A crowd walks on a sidewalk shortly after it has rained."", ""A group of people walking after a spring shower."", ""Tourists enjoying the local shops."", ""People walking along a sidewalk.""]"
94,9311,9311,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/094_9311.jpg,"[""A toddler plays in a water fountain with his mouth open and ready for a drink."", ""A baby sticking out his tonge while looking at a spraying water fountain."", ""A baby trying to catch water from a fountain in his mouth"", ""A small boy is playing at a water fountain"", ""A baby reaching into a water fountain.""]"
95,19253,19253,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/095_19253.jpg,"[""A curly-haired brunette wearing a black and purple reversible jacket and a long scarf is standing outside in the sunlight."", ""A woman with dark curly hair wearing a green and yellow scarf and a dark jacket."", ""A woman with curly hair and a green and yellow scarf looks down."", ""A woman is standing and wearing a green and yellow scarf."", ""A young woman bundled up in her winter gear.""]"
96,28917,28917,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/096_28917.jpg,"[""Two basketball players one in black and red and one in blue and white playing a game with the ref and crowd in the background."", ""A basketball player wearing white dribbles the ball, while being guarded by another player in a black uniform."", ""Two male basketball players are playing a competitive game while the referee is standing behind watching."", ""Two men playing in a basketball game against each other."", ""A small image used to signify a broken web image link""]"
97,16363,16363,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/097_16363.jpg,"[""Overhead view of a living room with a man on one couch, sleeping, and a dog on another while a coffee table sits in the middle of the room."", ""A man wearing a white shirt and black pants laying on a couch."", ""A dog rests on a loveseat, while a man lies on a nearby sofa."", ""A man sleeping on a couch in front of a glass table."", ""A man and dog sit on couches.""]"
98,27728,27728,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/098_27728.jpg,"[""A person wearing deep sea scuba diving gear standing in front of a body of water that is surrounded by hills."", ""There is a guy in a scuba outfit and he is in front of water and mountains."", ""A man on a boat is wearing a diving outfit and looking at the camera."", ""A person in SCUBA gear poses in front of a vast expanse of water."", ""Someone dressed in scuba gear has a body of water behind him.""]"
99,30831,30831,/home/jinwoo/CLIPHacker/smoke2/results/generalization_100_seed1/samples/images/099_30831.jpg,"[""A woman holds her mouth wide open as she is placing a stack of crackers in."", ""A black-haired woman wearing glasses attempts to eat a pile of cookies."", ""A young person about to put several cookies in his or her mouth."", ""A woman with glasses about to take a bite out of a huge cookie."", ""Asian man eating a cracker sandwich in the kitchen.""]"
